DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
lindependant.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
njuskalo.hr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
publi24.ro,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
letras.mus.br,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
elconfidencial.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
splashtop.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
adswizz.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
euronews.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
sport.es,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),gtm fires Pixel request directly on https://www.sport.es/es/suscriptores/
plex.tv,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
samsungknox.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
crazyegg.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
privacymanager.io,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
midilibre.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ufl.edu,['PIXEL_GTM'],Loads Pixel on homepage,takes time
pcmag.com,['PIXEL_CORE'],Loads Pixel on homepage,takes time
ultradns.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
klarna.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
dhs.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ubc.ca,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
khanacademy.org,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
appier.net,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bt.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,only fires up reporting process of Pixels from a 3rd pt script
medlineplus.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sportradar.com,['PIXEL_GTM'],Loads Pixel on homepage,
archives.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
itu.int,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
urbanairship.com,['PIXEL_GTM'],Loads Pixel on homepage,
altervista.org,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
zara.com,['PIXEL_GTM'],Pixel loads after second action,Pixel loads on interaction with region choice
hatena.ne.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ably.io,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
uhc.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,loads on login sub-page
brightspace.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
walkme.com,['PIXEL_GTM'],Loads Pixel on homepage,
cookiebot.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
starbucks.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
kochava.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
insales.ru,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
malwarebytes.com,['PIXEL_GTM'],Pixel loads after second action,buy now
arcticwolf.net,['PIXEL_GTM'],Loads Pixel on homepage,insecure connection warning on the browser
zeit.de,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
kpmg.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,Could not fire pixel/ Has it configured in adobe assets js
digitaltrends.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
billboard.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
consumerreports.org,['PIXEL_GTM'],Pixel loads after second action,become a member
